"id","name"
"cth_province_1","กระบี่"
"cth_province_2","กรุงเทพมหานคร"
"cth_province_3","กาญจนบุรี"
"cth_province_4","กาฬสินธุ์"
"cth_province_5","กำแพงเพชร"
"cth_province_6","ขอนแก่น"
"cth_province_7","จันทบุรี"
"cth_province_8","ฉะเชิงเทรา"
"cth_province_9","ชลบุรี"
"cth_province_10","ชัยนาท"
"cth_province_11","ชัยภูมิ"
"cth_province_12","ชุมพร"
"cth_province_13","เชียงราย"
"cth_province_14","เชียงใหม่"
"cth_province_15","ตรัง"
"cth_province_16","ตราด"
"cth_province_17","ตาก"
"cth_province_18","นครนายก"
"cth_province_19","นครปฐม"
"cth_province_20","นครพนม"
"cth_province_21","นครราชสีมา"
"cth_province_22","นครศรีธรรมราช"
"cth_province_23","นครสวรรค์"
"cth_province_24","นนทบุรี"
"cth_province_25","นราธิวาส"
"cth_province_26","น่าน"
"cth_province_27","บุรีรัมย์"
"cth_province_28","ปทุมธานี"
"cth_province_29","ประจวบคีรีขันธ์"
"cth_province_30","ปราจีนบุรี"
"cth_province_31","ปัตตานี"
"cth_province_32","พระนครศรีอยุธยา"
"cth_province_33","พะเยา"
"cth_province_34","พังงา"
"cth_province_35","พัทลุง"
"cth_province_36","พิจิตร"
"cth_province_37","พิษณุโลก"
"cth_province_38","เพชรบุรี"
"cth_province_39","เพชรบูรณ์"
"cth_province_40","แพร่"
"cth_province_41","ภูเก็ต"
"cth_province_42","มหาสารคาม"
"cth_province_43","มุกดาหาร"
"cth_province_44","แม่ฮ่องสอน"
"cth_province_45","ยโสธร"
"cth_province_46","ยะลา"
"cth_province_47","ร้อยเอ็ด"
"cth_province_48","ระนอง"
"cth_province_49","ระยอง"
"cth_province_50","ราชบุรี"
"cth_province_51","ลพบุรี"
"cth_province_52","เลย"
"cth_province_53","ลำปาง"
"cth_province_54","ลำพูน"
"cth_province_55","ศีรสะเกษ"
"cth_province_56","สกลนคร"
"cth_province_57","สงขลา"
"cth_province_58","สตูล"
"cth_province_59","สมุทรปราการ"
"cth_province_60","สมุทรสงคราม"
"cth_province_61","สมุทรสาคร"
"cth_province_62","สระแก้ว"
"cth_province_63","สระบุรี"
"cth_province_64","สิงห์บุรี"
"cth_province_65","สุโขทัย"
"cth_province_66","สุพรรณบุรี"
"cth_province_67","สุราษฎร์ธานี"
"cth_province_68","สุรินทร์"
"cth_province_69","หนองคาย"
"cth_province_70","หนองบัวลำภู"
"cth_province_71","อ่างทอง"
"cth_province_72","อำนาจเจริญ"
"cth_province_73","อุดรธานี"
"cth_province_74","อุตรดิตถ์"
"cth_province_75","อุทัยธานี"
"cth_province_76","อุบลราชธานี"
